"id";"item_group_id";"title";"link";"price";"online_only";"description";"condition";"product_type";"google_product_category";"image_link";"availability";"quantity";"featured_product";"shipping_weight";"manufacturer";"brand";"mpn";"gtin"
"L-AAKG-25KG";"L-AAKG";"L-Arginine a-Ketoglutarate (AAKG) - 25kg Pure Powder";"http://www.bulksupplements.com/l-arginine-a-ketoglutarate-aakg.html";"330.96";"y";"L-Arginine Alpha-Ketoglutarate is a 2:1 salt formed from the combination of two parts Arginine and one part Alpha-Ketoglutarate. ";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_224.jpg";"in stock";"40";"no";"57.42 kilograms";"BulkSupplements";"BulkSupplements";"L-AAKG-25KG";"849720004482"
"L-ALA-100";"L-ALA";"L-Alanine - 100g Pure Powder";"http://www.bulksupplements.com/l-alanine.html";"9.96";"y";"While Alanine is considered a nonessential acid, meaning that it is produced naturally in the body, L-Alanine supplementation can be very important. This is a pure product that comes in powdered form.";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_171.jpg";"in stock";"167";"no";"0.22 kilograms";"BulkSupplements";"BulkSupplements";"L-ALA-100";"849720004376"
"L-ALA-250";"L-ALA";"L-Alanine - 250g Pure Powder";"http://www.bulksupplements.com/l-alanine.html";"11.96";"y";"While Alanine is considered a nonessential acid, meaning that it is produced naturally in the body, L-Alanine supplementation can be very important. This is a pure product that comes in powdered form.";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_172.jpg";"in stock";"115";"no";"0.55 kilograms";"BulkSupplements";"BulkSupplements";"L-ALA-250";"849720004383"
"L-ALA-500";"L-ALA";"L-Alanine - 500g Pure Powder";"http://www.bulksupplements.com/l-alanine.html";"15.96";"y";"While Alanine is considered a nonessential acid, meaning that it is produced naturally in the body, L-Alanine supplementation can be very important. This is a pure product that comes in powdered form.";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_173.jpg";"in stock";"18";"no";"1.10 kilograms";"BulkSupplements";"BulkSupplements";"L-ALA-500";"849720004390"
"L-ALA-1KG";"L-ALA";"L-Alanine - 1kg Pure Powder";"http://www.bulksupplements.com/l-alanine.html";"19.96";"y";"While Alanine is considered a nonessential acid, meaning that it is produced naturally in the body, L-Alanine supplementation can be very important. This is a pure product that comes in powdered form.";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_174.jpg";"in stock";"66";"no";"2.21 kilograms";"BulkSupplements";"BulkSupplements";"L-ALA-1KG";"849720004406"
"L-ALA-5KG";"L-ALA";"L-Alanine - 5kg Pure Powder";"http://www.bulksupplements.com/l-alanine.html";"85.96";"y";"While Alanine is considered a nonessential acid, meaning that it is produced naturally in the body, L-Alanine supplementation can be very important. This is a pure product that comes in powdered form.";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_175.jpg";"in stock";"4993";"no";"11.02 kilograms";"BulkSupplements";"BulkSupplements";"L-ALA-5KG";"849720004413"
"L-ALA-25KG";"L-ALA";"L-Alanine - 25kg Pure Powder";"http://www.bulksupplements.com/l-alanine.html";"227.96";"y";"While Alanine is considered a nonessential acid, meaning that it is produced naturally in the body, L-Alanine supplementation can be very important. This is a pure product that comes in powdered form.";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_176.jpg";"in stock";"2";"no";"57.42 kilograms";"BulkSupplements";"BulkSupplements";"L-ALA-25KG";"849720004420"
"L-GLY-100";"L-GLY";"Glycine - 100g Pure Powder";"http://www.bulksupplements.com/l-glycine.html";"10.96";"y";"Glycine is an amino acid considered nonessential but nonetheless important in the formation of muscle tissue and in the conversion of glucose into energy. Glycine is also an antioxidant.";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_124.jpg";"in stock";"198";"no";"0.22 kilograms";"BulkSupplements";"BulkSupplements";"L-GLY-100";"849720003454"
"L-GLY-250";"L-GLY";"Glycine - 250g Pure Powder";"http://www.bulksupplements.com/l-glycine.html";"12.96";"y";"Glycine is an amino acid considered nonessential but nonetheless important in the formation of muscle tissue and in the conversion of glucose into energy. Glycine is also an antioxidant.";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_125.jpg";"in stock";"117";"no";"0.55 kilograms";"BulkSupplements";"BulkSupplements";"L-GLY-250";"849720003461"
"L-GLY-500";"L-GLY";"Glycine - 500g Pure Powder";"http://www.bulksupplements.com/l-glycine.html";"15.96";"y";"Glycine is an amino acid considered nonessential but nonetheless important in the formation of muscle tissue and in the conversion of glucose into energy. Glycine is also an antioxidant.";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_126.jpg";"in stock";"111";"no";"1.10 kilograms";"BulkSupplements";"BulkSupplements";"L-GLY-500";"849720003478"
