" from ","Van"
"Update Carriers","Transporteurs bijwerken"
"Update Products delivery date","Product leveringsdatum aanpassen"
"Update Stock","Voorraad updaten"
"Use product cost","Productkostprijs gebruiken"
"Validate payment","Betaling controleren"
"View","Bekijken"
"Waiting For Delivery Qty","# Wachtend op levering"
"Warehouse management","Magazijn beheer"
"Warehouse","Magazijn"
"Warehouse","Magazijn"
"Website","Website"
"WEEE","Ecotax"
"Weight","Gewicht"
"Yes with notification","Ja met melding"
"Yes","Ja"
"You are preparing orders from warehouse : ","U doet ordervoorbereiding voor magazijn :"
"Zip Code","Postcode"
"Custom dutie","Douanekosten"
"Custom duties","Douanekosten"
"Add new packaging","Nieuwe verpakking toevoegen"
"Default for sales","Standaard voor verkoop"
"Default for purchase","Standaard voor inkoop"
"No ","Nr. "
"Date : ","Datum : "
"Drop ship order #","Drop ship order #"
"Send order to supplier","Verzend order naar leverancier"
"Fill comments and click button to send order to supplier by email","Vul je opmerkingen in en klik op de knop om de order per email naar de leverancier te verzenden"
"Supplier email address","Emailadres leverancier"
"Change status to :","Verander status naar :"
"Do not change status","Verander status niet"
"Send to supplier","Verzend naar leverancier"
"Waiting for supplier","Wacht op leverancier"
"Create New delivery","Maak een nieuwe levering"
"Print barcodes","Barcodes afdrukken"
"Supplier notified on","Leverancier geinformeerd op"
"Caution : supplier email is not set !","Waarschuwing : leverancier heeft geen emailadres !"
"Release","Vrijgeven"
"Date :  ","Datum : "
